,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
24699,South Africa,New Zealand,Barbados,167,4,7,8.637931034482758,66.0,170
41612,Sri Lanka,Bangladesh,Chittagong,77,71,7,9.428571428571429,52.0,168
5005,India,South Africa,Johannesburg,52,92,8,11.142857142857142,52.0,203
27706,Australia,England,Melbourne,61,82,9,9.631578947368421,58.0,147
49954,Pakistan,Bangladesh,Mirpur,20,83,7,3.2432432432432434,19.0,129
20725,Sri Lanka,Pakistan,London,96,46,8,7.783783783783784,21.0,150
34231,Pakistan,Bangladesh,Mirpur,107,28,5,6.978260869565218,39.0,135
9746,South Africa,England,Centurion,159,29,7,10.483516483516484,56.0,222
49292,India,West Indies,Mumbai,137,23,8,8.474226804123711,43.0,192
35225,New Zealand,England,London,134,36,8,9.571428571428571,45.0,201
30703,Sri Lanka,Pakistan,Abu Dhabi,108,38,7,7.902439024390244,25.0,141
28377,Pakistan,New Zealand,Auckland,112,12,1,6.222222222222222,25.0,143
29292,Australia,South Africa,Johannesburg,17,93,8,3.7777777777777777,17.0,147
12865,Bangladesh,Pakistan,Lahore,68,59,10,6.688524590163935,34.0,141
41314,India,Sri Lanka,Mirpur,130,0,6,6.446280991735537,29.0,130
3661,Sri Lanka,India,Colombo,120,29,4,7.912087912087912,29.0,170
33292,Sri Lanka,England,Pallekele,96,44,7,7.578947368421052,40.0,169
1209,West Indies,India,Lauderhill,205,26,8,13.085106382978724,42.0,245
49305,India,West Indies,Mumbai,164,10,8,8.945454545454545,48.0,192
46490,South Africa,Sri Lanka,Centurion,122,63,6,12.842105263157896,66.0,126
9631,England,South Africa,Durban,138,21,5,8.363636363636363,38.0,204
12033,England,Australia,Southampton,85,45,7,6.8,38.0,145
46086,New Zealand,Pakistan,Wellington,55,87,10,10.0,50.0,196
5396,Sri Lanka,India,Mumbai,45,77,7,6.27906976744186,35.0,135
12039,England,Australia,Southampton,94,39,6,6.962962962962963,39.0,145
31034,England,Pakistan,Abu Dhabi,54,69,8,6.352941176470588,28.0,129
10943,New Zealand,India,Auckland,170,22,7,10.408163265306122,61.0,203
